Diet_type,Recipe_name,Cuisine_type,Protein(g),Carbs(g),Fat(g),Extraction_day,Extraction_time
Paleo,Swiss Paleo’s Homemade Italian & Chorizo Sausage,Italian,1273.61,83.34,1608.54,2022-10-16,17:21:11
Dash,Salmon Mousse,Nordic,1239.47,22.4,983.36,2022-10-16,20:38:27
Dash,Homemade Turkey Alphabet Soup,American,1190.35,49.13,297.45,2022-10-16,20:40:24
Paleo,Turkey Soup,American,1142.58,693.64,287.86,2022-10-16,17:24:13
Keto,Sara Louise's Keto Smoked Holiday Turkey,American,1092.0,49.28,313.81,2022-10-16,18:06:27
Dash,Barbecue Chicken Legs,Mediterranean,1017.25,241.93,1002.07,2022-10-16,20:36:46
Mediterranean,Fava Bean Salad with Mountain Ham and Mint,American,970.31,823.34,322.84,2022-10-16,16:47:37
Dash,12th Man Hot Wings,American,807.03,49.17,649.49,2022-10-16,20:36:46
Keto,"Mayo Free Deviled Eggs (Paleo, Whole30 + Keto)",Italian,766.99,41.29,287.59,2022-10-16,18:07:10
Keto,"Low Carb Beef and Cheddar Cauliflower Bake, THM S meal, Keto too",British,710.81,112.56,1154.61,2022-10-16,18:08:58
Keto,"Orange and Five-Spice Roasted Chicken Legs | Keto, Paleo",Mediterranean,677.22,41.71,686.9,2022-10-16,18:08:10
Paleo,"Orange and Five-Spice Roasted Chicken Legs | Keto, Paleo",Mediterranean,677.22,41.71,686.9,2022-10-16,17:22:38
Keto,"Low Carb Salmon Cakes (Keto, Grain Free)",Nordic,656.95,13.25,501.19,2022-10-16,18:07:37
Mediterranean,Poached Salt Cod with Vegetables and Garlic Mayonnaise,Mediterranean,656.65,315.52,73.73,2022-10-16,16:48:18
Mediterranean,Mediterranean Pizza,Italian,628.29,3405.55,333.76,2022-10-16,16:49:45
Mediterranean,Orange and Cumin Leg of Lamb with Roasted Tomatoes and Garlic Recipe,Mediterranean,607.03,109.27,489.93,2022-10-16,16:46:37
Paleo,Vietnamese Pho Pressure Cooker (Noodle Soup),South East Asian,602.91,274.87,400.01,2022-10-16,17:20:09
Mediterranean,Meatballs Braised with Kale,Mediterranean,531.48,279.16,566.41,2022-10-16,16:48:18
Dash,Jazzed Up Turkey Tetrazzini,American,517.47,575.58,377.75,2022-10-16,20:40:17
Paleo,Paleo Slow Cooker Honey Garlic Chicken and Vegetables recipes,Mediterranean,501.65,312.39,58.06,2022-10-16,17:23:19
Vegan,Tangy Teriyaki Salmon,Nordic,431.1,39.47,276.51,2022-10-16,20:10:03
Vegan,Mini nut roasts with candied carrots,American,421.72,1636.67,267.25,2022-10-16,20:11:32
Vegan,Vegan Pinto Bean Chili,American,381.55,1264.46,37.23,2022-10-16,20:05:44
Vegan,Vegan Chili and Cornbread Casserole,American,319.54,1159.0,291.7,2022-10-16,20:05:51
Vegan,Kentucky fried seitan,Mediterranean,317.43,703.99,534.41,2022-10-16,20:08:53
